Data;jul/24;out/24;jan/25;abr/25;jul/25;out/25;jan/26;abr/26
23/09/2024;3,1704;2,8824;2,1253;1,7509;1,7688;1,8733;1,7974;1,8428
24/09/2024;3,1704;2,8824;2,1253;1,7509;1,7688;1,8733;1,7974;1,8428
25/09/2024;3,1707;2,8826;2,1182;1,748;1,7658;1,8691;1,8002;1,8456
26/09/2024;3,1978;2,9069;2,1128;1,7455;1,7634;1,8882;1,7988;1,8482
27/09/2024;3,1788;2,9114;2,1288;1,7488;1,7615;1,8878;1,7946;1,8463
30/09/2024;3,2101;2,9304;2,1338;1,7516;1,7577;1,8853;1,7946;1,8463
01/10/2024;3,2101;2,9304;2,1338;1,7516;1,7577;1,8853;1,7946;1,8463
02/10/2024;3,2121;2,9335;2,1482;1,7549;1,7611;1,8886;1,7961;1,8463
03/10/2024;3,2121;2,9376;2,1593;1,7549;1,7611;1,8821;1,7961;1,8463
04/10/2024;3,2398;2,9729;2,1605;1,7555;1,7545;1,895;1,7996;1,8489
07/10/2024;3,2314;2,9838;2,1555;1,755;1,7586;1,9061;1,7938;1,8412
08/10/2024;3,2324;2,986;2,1578;1,7583;1,7608;1,9066;1,7944;1,8404
09/10/2024;3,2396;2,9818;2,154;1,7557;1,7596;1,9066;1,7944;1,843
10/10/2024;3,2388;2,9834;2,1651;1,7448;1,7527;1,9137;1,7883;1,8324
11/10/2024;3,2524;2,9817;2,1827;1,7533;1,7504;1,8993;1,8006;1,8399
14/10/2024;3,2465;2,9966;2,2507;1,7915;1,7336;1,8719;1,8219;1,8541
15/10/2024;3,2667;3,007;2,231;1,7771;1,7447;1,8953;1,8219;1,8567
16/10/2024;3,2689;2,998;2,2084;1,7699;1,7482;1,8976;1,828;1,8583
17/10/2024;3,2843;2,9995;2,2156;1,7817;1,741;1,8801;1,8242;1,8538
18/10/2024;3,3187;3,0267;2,219;1,8123;1,7609;1,8741;1,8347;1,8624
